,HS 0,HS 1,HS 2,KL 0,KL 1,KL 2
CTRL_0%(1),15.858657255386063,11.934225169144261,13.634640760415364,inf,0.0,0.0
CTRL_0%(2),17.209339241679025,12.624700724973756,14.510941274945257,inf,0.0,0.0
CTRL_0%(3),14.900562386001598,11.466510639833999,13.088271812836718,inf,0.0,0.0
CTRL_0%(4),15.57724118319143,11.353072967794786,13.387800245215837,inf,0.0,0.0
U937_1%(1),17.870251435522263,13.76754421050078,15.332069283427375,inf,0.0,0.0
U937_1%(2),16.51693911158467,12.253979423410437,13.448699548785678,inf,0.0,0.0
U937_7%,16.45609219926978,11.956165512180261,14.592702487907255,inf,0.0,0.0
U937_8%,15.07338927321993,11.601857411666346,13.18113916774823,inf,0.0,0.0
U937_10%(1),15.97588884987928,11.119383090109835,13.552671089507466,inf,0.0,0.0
U937_10%(2),18.096360421176094,15.1682685819789,18.28479518464103,inf,0.0,0.0
U937_10%(3),17.84015694966018,14.836525971428912,17.810971098858964,inf,0.0,0.0
HL60_23%,17.0606670173751,12.347079582445009,14.93292606553082,inf,0.0,0.0
HL60_25%(1),15.32689202955262,11.751675566247865,13.053975368873674,inf,0.0,0.0
HL60_25%(2),16.495490884728618,12.04633618323714,14.703912710270531,inf,0.0,0.0
P1_10%,15.417322117274178,10.569183528673515,12.470358002856024,inf,0.0,0.0
P1_40%,17.656075083314963,12.909392129469826,14.75769781498078,inf,0.0,0.0
P1_44%,18.53599981883025,15.297736206280867,17.368378807005755,inf,0.0,0.0
P1_51%,17.488871598539305,13.708077198811658,16.532283685931365,inf,0.0,0.0
P1_60%,15.675896977846216,12.072749343566647,14.505496803218131,inf,0.0,0.0
P1_76%,16.82226819269629,12.670049353566549,14.870536477682569,inf,0.0,0.0
P2_59%,17.33654280731237,13.525136373454753,13.74142300788305,inf,0.0,0.0
P2_88%,18.287359176968,14.898121419248517,16.152342845102982,inf,0.0,0.0
P2_90%,19.039295645233075,15.41989916014461,16.469516480403417,inf,0.0,0.0
MNC_53%,16.785561077283678,14.185757326221477,17.14770151208849,inf,0.0,0.0
MNC_67%,18.869578449693652,15.146824277442027,17.455340860320916,inf,0.0,0.0
MNC_75%,16.72011363978323,12.272805579001366,13.500680371675156,inf,0.0,0.0
MNC_86%,20.839250463115317,18.45708097815028,20.426226445967185,inf,0.0,0.0
